time,gFx,gFy,gFz,TgF
22:10:37:685,0.8514,-0.0349,0.5165,1.004
22:10:37:687,0.8473,-0.0344,0.5151,1.000
22:10:37:691,0.8438,-0.0342,0.5121,0.995
22:10:37:692,0.8407,-0.0340,0.5097,0.991
22:10:37:695,0.8441,-0.0354,0.5109,0.995
22:10:37:697,0.8524,-0.0376,0.5148,1.004
22:10:37:698,0.8590,-0.0384,0.5177,1.011
22:10:37:699,0.8626,-0.0381,0.5187,1.015
22:10:37:702,0.8670,-0.0386,0.5204,1.019
22:10:37:703,0.8729,-0.0376,0.5216,1.025
22:10:37:705,0.8790,-0.0352,0.5216,1.030
22:10:37:706,0.8829,-0.0327,0.5204,1.033
22:10:37:709,0.8841,-0.0296,0.5187,1.033
22:10:37:712,0.8837,-0.0279,0.5170,1.032
22:10:37:713,0.8829,-0.0266,0.5143,1.030
22:10:37:715,0.8837,-0.0249,0.5116,1.029
22:10:37:717,0.8856,-0.0227,0.5104,1.030
22:10:37:719,0.8878,-0.0200,0.5109,1.032
22:10:37:721,0.8898,-0.0173,0.5104,1.034
22:10:37:724,0.8922,-0.0149,0.5087,1.035
22:10:37:726,0.8946,-0.0137,0.5072,1.037
22:10:37:727,0.8964,-0.0132,0.5070,1.038
22:10:37:730,0.9000,-0.0120,0.5070,1.041
22:10:37:731,0.9032,-0.0098,0.5080,1.045
22:10:37:733,0.9049,-0.0086,0.5111,1.048
22:10:37:734,0.9056,-0.0088,0.5138,1.050
22:10:37:737,0.9044,-0.0078,0.5153,1.049
22:10:37:739,0.9044,-0.0059,0.5168,1.050
22:10:37:742,0.9083,-0.0049,0.5175,1.054
22:10:37:744,0.9139,-0.0061,0.5175,1.059
22:10:37:745,0.9154,-0.0061,0.5170,1.060
22:10:37:747,0.9139,-0.0051,0.5148,1.057
22:10:37:750,0.9139,-0.0051,0.5114,1.056
22:10:37:751,0.9149,-0.0044,0.5060,1.054
22:10:37:754,0.9161,-0.0024,0.4989,1.052
22:10:37:755,0.9191,-0.0007,0.4918,1.051
22:10:37:761,0.9208,0.0000,0.4855,1.049
22:10:37:763,0.9225,0.0012,0.4823,1.049
22:10:37:764,0.9257,0.0012,0.4823,1.052
22:10:37:765,0.9289,-0.0005,0.4838,1.055
22:10:37:765,0.9281,-0.0022,0.4845,1.055
22:10:37:767,0.9237,-0.0039,0.4845,1.051
22:10:37:770,0.9208,-0.0051,0.4830,1.048
22:10:37:771,0.9183,-0.0059,0.4799,1.044
22:10:37:774,0.9169,-0.0071,0.4760,1.041
22:10:37:775,0.9164,-0.0083,0.4711,1.038
22:10:37:781,0.9159,-0.0088,0.4686,1.037
22:10:37:783,0.9188,-0.0115,0.4735,1.041
22:10:37:784,0.9279,-0.0215,0.4816,1.053
22:10:37:785,0.9604,-0.0559,0.5041,1.092
22:10:37:786,1.0464,-0.1405,0.5673,1.201
22:10:37:787,1.0632,-0.1896,0.6054,1.239
22:10:37:789,1.0153,-0.1757,0.5927,1.190
22:10:37:792,0.9846,-0.1444,0.5761,1.153
22:10:37:794,0.9762,-0.1175,0.5791,1.145
22:10:37:795,0.9736,-0.0916,0.5945,1.150
22:10:37:797,0.9648,-0.0635,0.6111,1.151
22:10:37:798,0.9582,-0.0498,0.6169,1.148
22:10:37:800,0.9469,-0.0252,0.6240,1.143
22:10:37:803,0.9328,-0.0042,0.6225,1.131
22:10:37:804,0.9149,0.0147,0.6098,1.110
22:10:37:807,0.8971,0.0305,0.5915,1.086
22:10:37:808,0.8785,0.0435,0.5747,1.062
22:10:37:810,0.8639,0.0525,0.5588,1.042
22:10:37:813,0.8578,0.0577,0.5419,1.029
22:10:37:815,0.8565,0.0601,0.5270,1.020
22:10:37:816,0.8578,0.0603,0.5131,1.013
22:10:37:818,0.8607,0.0584,0.4987,1.008
22:10:37:821,0.8639,0.0550,0.4823,1.002
22:10:37:822,0.8634,0.0525,0.4650,0.993
22:10:37:825,0.8551,0.0511,0.4481,0.978
22:10:37:827,0.8446,0.0493,0.4317,0.961
22:10:37:828,0.8338,0.0464,0.4156,0.943
22:10:37:831,0.8211,0.0435,0.3966,0.923
22:10:37:833,0.8106,0.0408,0.3778,0.905
22:10:37:835,0.8050,0.0369,0.3607,0.892
22:10:37:837,0.8035,0.0325,0.3455,0.884
22:10:37:838,0.8057,0.0281,0.3326,0.881
22:10:37:841,0.8111,0.0239,0.3199,0.880
22:10:37:842,0.8153,0.0200,0.3074,0.879
22:10:37:845,0.8170,0.0178,0.2952,0.876
22:10:37:846,0.8179,0.0169,0.2839,0.873
22:10:37:849,0.8238,0.0149,0.2751,0.875
22:10:37:850,0.8348,0.0120,0.2671,0.883
22:10:37:853,0.8497,0.0093,0.2595,0.894
22:10:37:854,0.8670,0.0066,0.2529,0.909
22:10:37:860,0.8822,0.0044,0.2480,0.921
22:10:37:862,0.8903,0.0042,0.2448,0.928
22:10:37:862,0.9005,0.0034,0.2422,0.937
22:10:37:864,0.9179,0.0020,0.2400,0.953
22:10:37:865,0.9347,0.0012,0.2397,0.969
22:10:37:867,0.9477,0.0002,0.2392,0.982
22:10:37:869,0.9518,0.0012,0.2390,0.986
22:10:37:871,0.9550,0.0027,0.2385,0.989
22:10:37:873,0.9506,0.0059,0.2405,0.985
22:10:37:875,0.9420,0.0090,0.2431,0.978
22:10:37:877,0.9369,0.0103,0.2451,0.973
22:10:37:878,0.9215,0.0144,0.2512,0.961
22:10:37:880,0.8883,0.0225,0.2732,0.936
22:10:37:883,0.8360,0.0359,0.3311,0.908
22:10:37:884,0.7911,0.0467,0.4239,0.910
22:10:37:887,0.7679,0.0447,0.5505,0.959
22:10:37:888,0.7617,0.0288,0.6910,1.042
22:10:37:892,0.7698,0.0076,0.7652,1.099
22:10:37:893,0.7896,-0.0076,0.7371,1.092
22:10:37:894,0.8160,-0.0117,0.6658,1.064
22:10:37:896,0.8429,-0.0086,0.6189,1.056
22:10:37:898,0.8670,-0.0027,0.6118,1.071
22:10:37:900,0.8856,0.0032,0.6255,1.095
22:10:37:902,0.8998,0.0073,0.6365,1.113
22:10:37:904,0.9086,0.0088,0.6355,1.119
22:10:37:906,0.9086,0.0107,0.6245,1.113
22:10:37:909,0.9066,0.0142,0.6040,1.100
22:10:37:911,0.9103,0.0144,0.5717,1.085
22:10:37:912,0.9232,0.0100,0.5304,1.074
22:10:37:914,0.9645,-0.0044,0.4835,1.087
22:10:37:916,1.0122,-0.0215,0.4330,1.107
22:10:37:918,1.0295,-0.0259,0.3804,1.103
22:10:37:920,1.0254,-0.0193,0.3255,1.080
22:10:37:923,1.0141,-0.0083,0.2707,1.054
22:10:37:925,1.0041,0.0015,0.2182,1.031
22:10:37:926,0.9936,0.0105,0.1703,1.011
