time,gFx,gFy,gFz,TgF
21:41:38:765,0.6384,-0.0254,-0.7600,0.978
21:41:38:768,0.6398,-0.0274,-0.7578,0.977
21:41:38:770,0.6396,-0.0283,-0.7551,0.975
21:41:38:771,0.6376,-0.0291,-0.7534,0.972
21:41:38:774,0.6352,-0.0303,-0.7507,0.969
21:41:38:776,0.6328,-0.0320,-0.7465,0.964
21:41:38:778,0.6293,-0.0325,-0.7417,0.958
21:41:38:779,0.6257,-0.0322,-0.7373,0.952
21:41:38:781,0.6220,-0.0318,-0.7329,0.946
21:41:38:783,0.6205,-0.0318,-0.7307,0.944
21:41:38:788,0.6193,-0.0315,-0.7265,0.940
21:41:38:790,0.6200,-0.0303,-0.7236,0.938
21:41:38:791,0.6208,-0.0298,-0.7199,0.936
21:41:38:791,0.6218,-0.0288,-0.7163,0.934
21:41:38:794,0.6244,-0.0281,-0.7128,0.933
21:41:38:796,0.6269,-0.0279,-0.7114,0.934
21:41:38:797,0.6291,-0.0279,-0.7097,0.934
21:41:38:799,0.6296,-0.0279,-0.7089,0.934
21:41:38:806,0.6286,-0.0279,-0.7075,0.932
21:41:38:807,0.6286,-0.0300,-0.7035,0.929
21:41:38:808,0.6301,-0.0308,-0.7021,0.929
21:41:38:809,0.6328,-0.0305,-0.7001,0.929
21:41:38:810,0.6345,-0.0305,-0.6987,0.929
21:41:38:811,0.6345,-0.0303,-0.6972,0.928
21:41:38:814,0.6320,-0.0293,-0.6940,0.924
21:41:38:815,0.6298,-0.0283,-0.6928,0.922
21:41:38:817,0.6296,-0.0281,-0.6935,0.922
21:41:38:820,0.6303,-0.0269,-0.6940,0.923
21:41:38:821,0.6296,-0.0264,-0.6989,0.926
21:41:38:823,0.6284,-0.0266,-0.7038,0.929
21:41:38:825,0.6288,-0.0252,-0.7057,0.931
21:41:38:827,0.6281,-0.0239,-0.7070,0.931
21:41:38:829,0.6269,-0.0235,-0.7072,0.931
21:41:38:831,0.6293,-0.0222,-0.7043,0.930
21:41:38:833,0.6332,-0.0213,-0.6994,0.929
