time,gFx,gFy,gFz,TgF
22:08:07:455,0.9633,0.0870,0.1007,0.978
22:08:07:457,0.9770,0.0887,0.0902,0.991
22:08:07:459,0.9909,0.0894,0.0760,1.003
22:08:07:461,1.0009,0.0906,0.0582,1.012
22:08:07:463,1.0039,0.0911,0.0367,1.013
22:08:07:466,1.0051,0.0906,0.0128,1.013
22:08:07:468,1.0068,0.0909,0.0005,1.015
22:08:07:469,1.0117,0.0911,-0.0229,1.020
22:08:07:471,1.0192,0.0926,-0.0461,1.028
22:08:07:473,1.0251,0.0975,-0.0723,1.035
22:08:07:476,1.0244,0.1060,-0.1028,1.038
22:08:07:477,1.0173,0.1182,-0.1365,1.036
22:08:07:479,1.0175,0.1280,-0.1656,1.042
22:08:07:485,1.0224,0.1331,-0.1854,1.050
22:08:07:487,1.0310,0.1346,-0.1978,1.061
22:08:07:488,1.0398,0.1307,-0.2025,1.069
22:08:07:489,1.0493,0.1241,-0.2035,1.078
22:08:07:490,1.0588,0.1173,-0.2015,1.086
22:08:07:491,1.0647,0.1087,-0.2008,1.090
22:08:07:493,1.0676,0.1009,-0.2008,1.092
22:08:07:495,1.0659,0.0941,-0.2044,1.090
22:08:07:497,1.0554,0.0870,-0.2142,1.080
22:08:07:501,1.0327,0.0811,-0.2352,1.062
22:08:07:503,1.0100,0.0789,-0.2653,1.046
22:08:07:504,1.0002,0.0787,-0.2919,1.043
22:08:07:505,0.9955,0.0787,-0.3105,1.044
22:08:07:506,0.9885,0.0782,-0.3246,1.041
22:08:07:509,0.9760,0.0765,-0.3298,1.031
22:08:07:511,0.9587,0.0745,-0.3261,1.013
22:08:07:513,0.9435,0.0738,-0.3168,0.996
22:08:07:516,0.9342,0.0735,-0.3029,0.983
22:08:07:518,0.9286,0.0728,-0.2870,0.973
22:08:07:519,0.9201,0.0733,-0.2719,0.961
22:08:07:521,0.9091,0.0745,-0.2562,0.946
22:08:07:523,0.8942,0.0752,-0.2374,0.927
22:08:07:525,0.8824,0.0750,-0.2159,0.911
22:08:07:527,0.8744,0.0743,-0.1949,0.899
22:08:07:529,0.8714,0.0745,-0.1744,0.892
22:08:07:532,0.8907,0.0767,-0.1526,0.908
22:08:07:534,0.9775,0.0792,-0.1316,0.991
22:08:07:536,1.1602,0.0728,-0.1563,1.173
22:08:07:537,1.3166,0.0603,-0.2308,1.336
22:08:07:539,1.3952,0.0452,-0.3131,1.427
22:08:07:541,1.4287,0.0303,-0.4028,1.480
22:08:07:543,1.4114,0.0142,-0.4622,1.479
22:08:07:545,1.3833,0.0051,-0.4690,1.454
22:08:07:547,1.3039,-0.0110,-0.4385,1.369
22:08:07:550,1.2115,-0.0210,-0.3664,1.259
22:08:07:551,1.1175,-0.0230,-0.2760,1.145
