time,gFx,gFy,gFz,TgF
21:50:09:022,0.8524,-0.0381,0.4657,0.979
21:50:09:024,0.8519,-0.0472,0.4503,0.971
21:50:09:026,0.8536,-0.0535,0.4364,0.966
21:50:09:028,0.8587,-0.0586,0.4244,0.965
21:50:09:030,0.8644,-0.0613,0.4129,0.964
21:50:09:032,0.8695,-0.0613,0.4027,0.965
21:50:09:034,0.8773,-0.0601,0.3951,0.968
21:50:09:036,0.8881,-0.0574,0.3887,0.975
21:50:09:039,0.8978,-0.0552,0.3817,0.981
21:50:09:041,0.9059,-0.0523,0.3736,0.985
21:50:09:042,0.9091,-0.0501,0.3692,0.987
21:50:09:044,0.9166,-0.0450,0.3614,0.991
21:50:09:045,0.9252,-0.0396,0.3572,0.997
21:50:09:048,0.9315,-0.0344,0.3541,1.002
21:50:09:049,0.9340,-0.0286,0.3519,1.003
21:50:09:051,0.9364,-0.0230,0.3538,1.006
21:50:09:054,0.9394,-0.0176,0.3582,1.011
21:50:09:056,0.9406,-0.0115,0.3628,1.014
21:50:09:058,0.9394,-0.0042,0.3680,1.015
21:50:09:060,0.9379,0.0015,0.3726,1.016
21:50:09:062,0.9386,0.0061,0.3782,1.019
21:50:09:064,0.9408,0.0098,0.3861,1.024
21:50:09:066,0.9438,0.0120,0.3951,1.031
21:50:09:068,0.9464,0.0132,0.4022,1.036
21:50:09:070,0.9472,0.0154,0.4066,1.039
21:50:09:073,0.9464,0.0176,0.4093,1.039
21:50:09:076,0.9474,0.0188,0.4129,1.042
21:50:09:077,0.9477,0.0191,0.4156,1.043
21:50:09:078,0.9477,0.0198,0.4190,1.044
21:50:09:080,0.9499,0.0210,0.4239,1.049
21:50:09:082,0.9506,0.0232,0.4271,1.051
21:50:09:083,0.9513,0.0247,0.4281,1.052
21:50:09:086,0.9528,0.0257,0.4295,1.054
21:50:09:088,0.9523,0.0271,0.4310,1.054
21:50:09:094,0.9491,0.0291,0.4310,1.051
21:50:09:096,0.9455,0.0308,0.4273,1.047
21:50:09:097,0.9425,0.0320,0.4244,1.043
21:50:09:097,0.9413,0.0325,0.4234,1.041
21:50:09:098,0.9386,0.0335,0.4222,1.039
21:50:09:100,0.9350,0.0357,0.4210,1.035
21:50:09:102,0.9298,0.0369,0.4198,1.030
21:50:09:104,0.9220,0.0386,0.4178,1.022
21:50:09:120,0.9144,0.0406,0.4159,1.015
21:50:09:121,0.9059,0.0425,0.4142,1.006
21:50:09:123,0.9008,0.0435,0.4151,1.002
21:50:09:124,0.8988,0.0442,0.4166,1.001
21:50:09:125,0.8942,0.0469,0.4193,0.999
21:50:09:125,0.8890,0.0476,0.4203,0.994
21:50:09:126,0.8837,0.0474,0.4217,0.990
21:50:09:127,0.8807,0.0476,0.4244,0.989
21:50:09:128,0.8788,0.0481,0.4251,0.988
21:50:09:129,0.8756,0.0469,0.4264,0.985
21:50:09:130,0.8692,0.0457,0.4303,0.981
21:50:09:131,0.8617,0.0454,0.4349,0.977
21:50:09:133,0.8565,0.0454,0.4408,0.975
21:50:09:133,0.8553,0.0454,0.4481,0.977
21:50:09:135,0.8541,0.0469,0.4540,0.979
21:50:09:136,0.8507,0.0486,0.4589,0.979
21:50:09:138,0.8482,0.0520,0.4686,0.982
21:50:09:141,0.8475,0.0564,0.4818,0.988
21:50:09:143,0.8433,0.0606,0.4962,0.992
21:50:09:146,0.8358,0.0647,0.5138,0.996
21:50:09:148,0.8306,0.0677,0.5339,1.003
21:50:09:149,0.8272,0.0704,0.5539,1.011
21:50:09:150,0.8228,0.0730,0.5698,1.017
21:50:09:154,0.8201,0.0738,0.5813,1.022
21:50:09:155,0.8172,0.0752,0.5876,1.023
21:50:09:160,0.8182,0.0767,0.5910,1.026
21:50:09:162,0.8211,0.0782,0.5898,1.028
21:50:09:163,0.8253,0.0789,0.5825,1.027
21:50:09:164,0.8304,0.0784,0.5720,1.025
21:50:09:165,0.8372,0.0770,0.5600,1.024
21:50:09:166,0.8485,0.0748,0.5478,1.026
21:50:09:168,0.8617,0.0718,0.5346,1.029
21:50:09:169,0.8734,0.0687,0.5207,1.032
21:50:09:171,0.8817,0.0660,0.5063,1.031
21:50:09:175,0.8873,0.0638,0.4921,1.028
21:50:09:177,0.8954,0.0618,0.4796,1.029
21:50:09:178,0.9044,0.0596,0.4674,1.031
21:50:09:180,0.9103,0.0589,0.4540,1.030
21:50:09:182,0.9122,0.0606,0.4408,1.026
21:50:09:183,0.9120,0.0618,0.4342,1.023
21:50:09:186,0.9098,0.0647,0.4200,1.015
21:50:09:187,0.9081,0.0679,0.4049,1.007
21:50:09:193,0.9061,0.0721,0.3880,0.999
21:50:09:195,0.9049,0.0777,0.3712,0.992
21:50:09:196,0.9071,0.0826,0.3585,0.989
21:50:09:200,0.9115,0.0872,0.3492,0.991
21:50:09:201,0.9169,0.0914,0.3421,0.994
21:50:09:202,0.9227,0.0945,0.3387,0.998
21:50:09:203,0.9296,0.0967,0.3382,1.005
21:50:09:204,0.9376,0.0970,0.3389,1.012
21:50:09:210,0.9455,0.0958,0.3401,1.020
21:50:09:212,0.9501,0.0960,0.3416,1.025
21:50:09:213,0.9533,0.0982,0.3428,1.028
21:50:09:214,0.9594,0.0994,0.3450,1.035
21:50:09:214,0.9613,0.1014,0.3472,1.038
21:50:09:216,0.9557,0.1051,0.3492,1.034
21:50:09:217,0.9472,0.1102,0.3501,1.027
21:50:09:219,0.9401,0.1146,0.3526,1.022
