time,gFx,gFy,gFz,TgF
21:13:02:075,0.9303,-0.0176,-0.3415,0.984
21:13:02:077,0.9125,-0.0037,-0.3464,0.969
21:13:02:079,0.9037,0.0134,-0.3447,0.961
21:13:02:082,0.9020,0.0298,-0.3405,0.959
21:13:02:084,0.9061,0.0445,-0.3400,0.964
21:13:02:087,0.9110,0.0581,-0.3461,0.973
21:13:02:089,0.9125,0.0647,-0.3508,0.976
21:13:02:090,0.9149,0.0774,-0.3610,0.984
21:13:02:092,0.9191,0.0882,-0.3693,0.992
21:13:02:094,0.9252,0.0950,-0.3764,1.001
21:13:02:096,0.9315,0.0987,-0.3845,1.010
21:13:02:098,0.9379,0.1007,-0.3935,1.020
21:13:02:099,0.9423,0.1019,-0.4043,1.028
21:13:02:106,0.9452,0.1031,-0.4148,1.035
21:13:02:107,0.9550,0.1002,-0.4265,1.048
21:13:02:109,0.9626,0.0965,-0.4385,1.059
21:13:02:109,0.9579,0.0987,-0.4439,1.057
21:13:02:111,0.9504,0.1031,-0.4429,1.050
21:13:02:112,0.9455,0.1046,-0.4414,1.046
21:13:02:114,0.9440,0.1051,-0.4412,1.044
21:13:02:116,0.9440,0.1055,-0.4382,1.043
21:13:02:118,0.9420,0.1073,-0.4311,1.039
21:13:02:122,0.9394,0.1085,-0.4206,1.032
21:13:02:124,0.9418,0.1073,-0.4106,1.031
21:13:02:125,0.9606,0.0997,-0.4040,1.044
21:13:02:126,0.9770,0.0928,-0.3955,1.055
21:13:02:127,0.9753,0.0938,-0.3899,1.052
21:13:02:130,0.9604,0.0992,-0.3891,1.038
21:13:02:132,0.9401,0.1048,-0.3891,1.021
21:13:02:134,0.9201,0.1070,-0.3881,1.002
21:13:02:136,0.9049,0.1060,-0.3867,0.988
21:13:02:141,0.8949,0.1043,-0.3823,0.977
21:13:02:142,0.8878,0.1031,-0.3752,0.967
21:13:02:142,0.8885,0.1038,-0.3701,0.966
21:13:02:143,0.8951,0.1051,-0.3701,0.972
21:13:02:147,0.9012,0.1060,-0.3728,0.979
21:13:02:149,0.9044,0.1077,-0.3759,0.984
21:13:02:150,0.9049,0.1097,-0.3779,0.985
