time,gFx,gFy,gFz,TgF
21:31:45:924,1.2100,0.1424,0.0873,1.228
21:31:45:926,1.2450,0.1246,0.0973,1.261
21:31:45:927,1.2763,0.1070,0.1100,1.290
21:31:45:929,1.2926,0.0914,0.1227,1.306
21:31:45:931,1.2943,0.0843,0.1286,1.308
21:31:45:933,1.2890,0.0721,0.1403,1.303
21:31:45:935,1.2780,0.0625,0.1515,1.292
21:31:45:938,1.2601,0.0579,0.1635,1.276
21:31:45:941,1.2367,0.0564,0.1764,1.255
21:31:45:943,1.2215,0.0562,0.1911,1.242
21:31:45:944,1.2220,0.0537,0.2031,1.244
21:31:45:946,1.2296,0.0479,0.2109,1.253
21:31:45:947,1.2421,0.0420,0.2165,1.266
21:31:45:949,1.2577,0.0366,0.2202,1.281
21:31:45:951,1.2760,0.0293,0.2246,1.300
21:31:45:954,1.2926,0.0227,0.2331,1.317
21:31:45:958,1.3024,0.0169,0.2456,1.329
21:31:45:960,1.3024,0.0112,0.2612,1.332
21:31:45:961,1.2980,0.0056,0.2788,1.331
21:31:45:962,1.2997,0.0022,0.2959,1.336
21:31:45:964,1.3051,0.0005,0.3106,1.345
21:31:45:966,1.3090,0.0010,0.3216,1.352
21:31:45:970,1.3041,0.0032,0.3272,1.348
21:31:45:971,1.2938,0.0061,0.3284,1.339
21:31:45:972,1.2819,0.0076,0.3255,1.327
21:31:45:978,1.2633,0.0071,0.3057,1.304
21:31:45:980,1.2401,0.0054,0.2683,1.272
21:31:45:981,1.2179,0.0039,0.2500,1.247
21:31:45:982,1.1920,0.0024,0.2507,1.221
21:31:45:984,1.1629,0.0056,0.2429,1.191
21:31:45:985,1.1319,0.0139,0.2175,1.156
21:31:45:985,1.0918,0.0254,0.1887,1.112
21:31:45:988,1.0491,0.0371,0.1708,1.068
21:31:45:993,1.0234,0.0474,0.1501,1.040
21:31:45:994,1.0046,0.0579,0.1185,1.018
21:31:45:996,0.9811,0.0706,0.0861,0.992
21:31:45:997,0.9562,0.0840,0.0521,0.966
21:31:45:997,0.9372,0.0955,0.0088,0.947
21:31:45:999,0.9235,0.1068,-0.0390,0.935
21:31:46:002,0.9113,0.1175,-0.0840,0.927
21:31:46:003,0.9044,0.1231,-0.1033,0.923
21:31:46:006,0.8881,0.1344,-0.1319,0.912
21:31:46:008,0.8741,0.1422,-0.1475,0.902
21:31:46:009,0.8800,0.1456,-0.1678,0.912
21:31:46:011,0.8954,0.1495,-0.1964,0.933
